YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
1981,5,28,17.46,13.16,15.31,17.8,9.77,78.88,0.3,97.56,2.84,4.15,1.54,2.61,72.38,4.58,7.06,3.02,4.04,71.62
1981,5,29,20.8,15.62,18.21,20.94,11.41,74.5,0,97.27,3.78,6.26,1.76,4.51,66.06,5.91,10.48,3.34,7.14,64.69
1981,5,30,21.29,15.88,18.58,21.59,11.66,73.81,0,96.91,3.59,5.15,1.96,3.19,58.62,5.46,8.05,3.41,4.64,58.56
1981,5,31,21.04,14.58,17.81,21.12,10.8,70.38,0.09,96.57,2.27,3.38,1.46,1.92,107.81,3.46,5.65,1.52,4.13,109.75
1981,6,1,17.97,13.51,15.74,18.58,10.01,76.25,0.73,96.98,3.84,5.53,2.41,3.12,133.88,5.74,8.57,3.52,5.05,134.19
1981,6,2,16.23,10.71,13.47,16.8,8.24,72.88,0,97.59,3.43,5.62,2.1,3.52,145.06,5.14,6.46,3.78,2.68,145.75
1981,6,3,13.9,9.23,11.56,14.42,7.45,75.5,0.18,98.11,2.9,4.83,1.22,3.61,84.88,4.45,6.67,1.99,4.68,83.81
1981,6,4,14.1,8.37,11.23,14.7,7.02,71.44,0.73,97.97,3.56,5.03,2.14,2.89,65.44,5.44,7.45,4.1,3.34,64.44
1981,6,5,13.33,7.37,10.35,13.91,6.59,70.69,0,97.65,2.44,3.31,1.38,1.95,86.44,3.83,5.48,2.4,3.08,85.25
1981,6,6,13.68,7.52,10.6,14.1,6.59,70,0,98.06,2.12,4.05,0.45,3.6,133.06,3.17,6.24,0.63,5.61,135.62
1981,6,7,14.42,7.53,10.98,14.26,6.59,66.12,0,98.18,2.73,4.88,0.55,4.33,109.25,4.09,8.15,0.72,7.43,109.19
1981,6,8,15.09,8.26,11.68,15.24,7.02,67.62,0,97.4,3.84,6.07,1.81,4.26,67.38,5.72,8.97,3.56,5.41,66.56
1981,6,9,15.46,9.07,12.26,15.5,7.45,69.06,0,97.28,2.69,3.77,1.45,2.32,122.56,4.09,5.8,2.63,3.18,123.25
1981,6,10,15.37,9.33,12.34,15.52,7.51,69.81,0,97.99,3.86,5.84,2.09,3.76,142.69,6.08,7.78,3.68,4.1,144.19
1981,6,11,14.48,10.17,12.33,14.48,7.93,77.88,0.12,97.98,3.12,6.12,1.05,5.06,71.62,4.59,7.46,1.55,5.92,70.25
1981,6,12,15.26,9.15,12.2,15.31,7.39,69.56,0,98.16,2.86,3.61,1.38,2.23,116.31,4.48,6.82,2.2,4.62,117
1981,6,13,14.64,9.58,12.12,14.94,7.63,74.75,0.3,98.08,2.48,4.49,1.14,3.35,119.19,3.92,6.37,1.96,4.4,118
1981,6,14,15.33,9.05,12.19,15.8,7.32,68.75,0,98.01,3.7,4.78,2.26,2.52,65.31,5.62,7.85,4.36,3.49,64.31
1981,6,15,15.84,8.51,12.18,15.98,7.14,67.19,0,97.43,2.64,3.76,2.01,1.76,129.12,4.16,7.73,2.27,5.47,132.12
1981,6,16,13.2,4.56,8.88,13.21,5.49,60.38,0,98.36,3.51,5.41,1.98,3.43,150.56,5.12,6.18,3.34,2.84,151.81
1981,6,17,10.23,3.72,6.98,10.61,5.07,66.38,0,98.58,2.22,3.2,0.74,2.46,65.94,3.29,6.23,1.04,5.19,65.06
1981,6,18,10.7,4.63,7.67,11.17,5.43,69.81,0,97.98,3.8,6.3,1.63,4.66,74.75,5.71,8.34,2.89,5.45,74.69
1981,6,19,11.83,5.66,8.75,12.2,5.8,69.31,0,97.93,3.04,4.01,1.98,2.03,71.88,4.78,7.46,3.41,4.04,71.31
1981,6,20,13.72,6.69,10.2,13.76,6.29,67.25,0,97.64,5.04,8.91,2.02,6.89,68.94,7.19,11.58,3.02,8.55,67.94
