YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
1981,6,8,13.41,4.96,9.19,13.33,6.04,61.75,0,90.66,2.76,3.4,1.97,1.43,226.19,4.5,6.33,2.51,3.82,224.12
1981,6,9,14.4,4.55,9.48,13.09,5.86,55.19,0,90.68,2.48,3.77,0.48,3.29,187.31,3.34,5.05,0.67,4.38,187.81
1981,6,10,11.62,5.52,8.57,11.33,6.23,70.75,0,91.33,2.8,4.2,1.39,2.8,169.12,3.98,5.01,2.01,3,170
1981,6,11,11.03,6.62,8.83,10.83,6.71,76.94,0.01,91.21,2.98,5.53,0.95,4.58,96.06,4.45,6.62,1.74,4.87,80.62
1981,6,12,11.73,5.71,8.73,11.72,6.29,71.56,0,91.42,2.59,3.66,0.59,3.07,175.75,3.92,5.16,0.54,4.61,172.69
1981,6,13,10.68,5.6,8.14,9.96,6.23,73.38,0.04,91.38,2.48,4.66,0.46,4.2,224.19,3.22,5.07,0.7,4.37,224.38
1981,6,14,10.73,6.19,8.46,10.87,6.47,76.38,0,91.19,3.34,4.62,1.76,2.87,82.12,4.97,5.56,2.99,2.57,82.06
1981,6,15,13.04,4.17,8.61,12.5,5.74,62.38,0,90.82,3.42,5.7,1.88,3.83,238.75,5.02,7.01,3.16,3.85,239.31
1981,6,16,8.15,0.93,4.54,8.08,4.52,63.75,0,91.62,3.34,5.61,1.02,4.59,215.62,4.7,6.23,1.61,4.61,216.31
1981,6,17,7.76,-0.04,3.87,7.1,4.15,60.31,0,91.62,1.64,2.68,0.37,2.31,198.25,2.34,5.04,0.38,4.66,195.69
1981,6,18,7.76,1.8,4.78,7.91,4.76,69.38,0,91.08,3.48,5.26,2.54,2.72,185.19,5.19,6.37,4.45,1.91,184.62
1981,6,19,10.47,2.84,6.65,10.34,5.13,63.31,0,91.1,2.12,2.95,1.08,1.86,219.81,3.21,5.44,1.29,4.16,221.69
1981,6,20,11.16,3.3,7.23,10.89,5.37,62.75,0,90.8,4.97,7.81,2.97,4.84,155.12,7.39,9.68,4.72,4.96,155.12
